   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
2.2909e-01,7.5756e-02,1.0864e-01
2.3714e-01,7.8417e-02,1.1036e-01
2.4547e-01,8.1136e-02,1.1206e-01
2.5410e-01,8.3913e-02,1.1374e-01
2.6303e-01,8.6748e-02,1.1540e-01
2.7227e-01,8.9639e-02,1.1705e-01
2.8184e-01,9.2585e-02,1.1867e-01
2.9174e-01,9.5586e-02,1.2028e-01
3.0200e-01,9.8642e-02,1.2186e-01
3.1261e-01,1.0175e-01,1.2341e-01
3.2359e-01,1.0491e-01,1.2493e-01
3.3497e-01,1.0812e-01,1.2643e-01
3.4674e-01,1.1138e-01,1.2790e-01
3.5892e-01,1.1469e-01,1.2934e-01
3.7154e-01,1.1804e-01,1.3075e-01
3.8459e-01,1.2144e-01,1.3212e-01
3.9811e-01,1.2489e-01,1.3346e-01
4.1210e-01,1.2837e-01,1.3476e-01
4.2658e-01,1.3190e-01,1.3603e-01
4.4157e-01,1.3547e-01,1.3726e-01
4.5709e-01,1.3907e-01,1.3846e-01
4.7315e-01,1.4272e-01,1.3961e-01
4.8978e-01,1.4639e-01,1.4073e-01
5.0699e-01,1.5010e-01,1.4181e-01
5.2481e-01,1.5384e-01,1.4285e-01
5.4325e-01,1.5761e-01,1.4385e-01
5.6234e-01,1.6141e-01,1.4481e-01
5.8210e-01,1.6523e-01,1.4573e-01
6.0256e-01,1.6908e-01,1.4661e-01
6.2373e-01,1.7295e-01,1.4744e-01
6.4565e-01,1.7684e-01,1.4824e-01
6.6834e-01,1.8075e-01,1.4900e-01
6.9183e-01,1.8468e-01,1.4971e-01
7.1614e-01,1.8863e-01,1.5039e-01
7.4131e-01,1.9259e-01,1.5102e-01
7.6736e-01,1.9656e-01,1.5162e-01
7.9433e-01,2.0055e-01,1.5218e-01
8.2224e-01,2.0454e-01,1.5270e-01
8.5114e-01,2.0855e-01,1.5317e-01
8.8105e-01,2.1256e-01,1.5362e-01
9.1201e-01,2.1658e-01,1.5402e-01
9.4406e-01,2.2060e-01,1.5439e-01
9.7724e-01,2.2463e-01,1.5472e-01
1.0116e+00,2.2866e-01,1.5501e-01
1.0471e+00,2.3269e-01,1.5527e-01
1.0839e+00,2.3672e-01,1.5550e-01
1.1220e+00,2.4075e-01,1.5569e-01
1.1614e+00,2.4477e-01,1.5585e-01
1.2023e+00,2.4880e-01,1.5598e-01
1.2445e+00,2.5282e-01,1.5607e-01
1.2882e+00,2.5683e-01,1.5614e-01
1.3335e+00,2.6084e-01,1.5617e-01
1.3804e+00,2.6484e-01,1.5618e-01
1.4289e+00,2.6884e-01,1.5615e-01
1.4791e+00,2.7283e-01,1.5610e-01
1.5311e+00,2.7681e-01,1.5603e-01
1.5849e+00,2.8077e-01,1.5593e-01
1.6406e+00,2.8473e-01,1.5580e-01
1.6982e+00,2.8868e-01,1.5565e-01
1.7579e+00,2.9262e-01,1.5547e-01
1.8197e+00,2.9654e-01,1.5527e-01
1.8836e+00,3.0045e-01,1.5505e-01
1.9498e+00,3.0435e-01,1.5481e-01
2.0184e+00,3.0824e-01,1.5455e-01
2.0893e+00,3.1211e-01,1.5427e-01
2.1627e+00,3.1597e-01,1.5397e-01
2.2387e+00,3.1982e-01,1.5365e-01
2.3174e+00,3.2365e-01,1.5331e-01
2.3988e+00,3.2746e-01,1.5296e-01
2.4831e+00,3.3126e-01,1.5259e-01
