   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.2589e+10,9.9880e-01,1.0209e-03
1.4962e+10,9.9891e-01,9.3643e-04
1.7783e+10,9.9901e-01,8.5819e-04
2.1135e+10,9.9910e-01,7.8579e-04
2.5119e+10,9.9918e-01,7.1887e-04
2.9854e+10,9.9926e-01,6.5707e-04
3.5481e+10,9.9933e-01,6.0007e-04
4.2170e+10,9.9939e-01,5.4755e-04
5.0119e+10,9.9945e-01,4.9920e-04
5.9566e+10,9.9950e-01,4.5474e-04
7.0795e+10,9.9955e-01,4.1390e-04
8.4140e+10,9.9959e-01,3.7642e-04
1.0000e+11,9.9963e-01,3.4206e-04
